"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000111261.14",2733.33843276484,1.30324897946261,0.380362279686315,3.42633601980039,0.000611783036005295,0.0404412230588331
"ENSG00000111291.8",69.664942807804,2.65296620869523,0.654735712564529,4.05196502616888,5.07892585449957e-05,0.0113930298245975
"ENSG00000111700.13",89.7517506983185,6.41391995408728,1.5223835538277,4.21307753749762,2.5191453573555e-05,0.00766016122163866
"ENSG00000111701.7",272.062086465195,3.86886940526314,1.10983996186973,3.48597053465737,0.000490355012830533,0.0366860249147371
"ENSG00000112761.21",186.292510065822,4.9437432159506,1.31140603036078,3.76980363174825,0.000163376040585348,0.0200774129860196
"ENSG00000113303.12",539.236526412635,3.65831218775042,1.08586526762701,3.36902956270542,0.000754333377618258,0.0450738898368534
"ENSG00000114248.10",206.163910900244,5.30733158852606,1.075048475661,4.93683002086283,7.94026187695549e-07,0.000905421444944337
"ENSG00000114346.14",1659.4781338194,1.6470447814228,0.466193912887359,3.53296071847415,0.000410933524685682,0.0335702022987255
"ENSG00000114771.14",539.398831934023,3.79710880250712,0.957161096264237,3.96705300427179,7.27668139521849e-05,0.0131013776146674
"ENSG00000115507.10",107.590656722871,2.25032591518165,0.614404222524081,3.6626146642302,0.000249653941833746,0.0257605746189008
"ENSG00000115616.3",564.737539475098,3.67734683044833,0.909311388131953,4.04410071010207,5.25243395475137e-05,0.0114082031777524
"ENSG00000115648.14",9777.54890446031,2.27539975467727,0.547594666844842,4.15526281106385,3.2491385251784e-05,0.00887306387478001
"ENSG00000117472.10",14260.4952620532,2.87654616974365,0.609377674374032,4.72046530536011,2.35305743297821e-06,0.00192379007701236
"ENSG00000117650.13",411.826437896486,1.98951328297205,0.53341465916935,3.72976866828179,0.00019165564985679,0.0220379839060117
"ENSG00000117983.17",16695.0330612383,4.78862749035384,1.00132728303801,4.78228005115891,1.73317984593957e-06,0.00151487975327237
"ENSG00000119946.11",438.18736717204,2.54348408424198,0.665861532829912,3.81983934922952,0.000133538621487556,0.0185097749309435
"ENSG00000121057.13",4071.54289085539,1.08198743186049,0.320353691198002,3.37747764920162,0.000731538979465653,0.0442920956881339
"ENSG00000121075.11",12.3201676405778,3.69621427480186,1.11360577499485,3.31914072088837,0.000902949143528562,0.0497203404646804
"ENSG00000121957.15",426.857897248426,1.21033750966403,0.353999030019036,3.41904188155245,0.00062842053126165,0.0410453094965097
"ENSG00000122133.17",131.246687785882,4.55569595489753,1.19075962461779,3.82587372019757,0.000130309080047386,0.0184159091793983
"ENSG00000123843.13",730.472354186997,2.7279419900973,0.802614076984157,3.3988215112643,0.000676768669868509,0.0423824443667997
"ENSG00000124102.5",1715.62854843923,3.74171278467986,0.963293839228772,3.88429016391876,0.000102629283623924,0.0160864243512151
"ENSG00000124635.9",102.28960837608,2.66337204321633,0.74448581475531,3.57746513154411,0.0003469424830127,0.0306283062342212
"ENSG00000124664.11",1620.4317840592,4.03344178055138,0.834554345428286,4.83304868358387,1.34457889144572e-06,0.0013481516078191
"ENSG00000126233.2",11.4057719291735,6.04158871498463,1.81162362850226,3.33490280206791,0.000853292192293722,0.048448231175316
"ENSG00000128298.17",2363.7394918834,2.97484517277596,0.695185612691109,4.27920992389376,1.87557902821208e-05,0.00641612140813499
"ENSG00000128408.9",70.4932922048203,2.12796951312127,0.594680537909711,3.57834060048617,0.000345782652086179,0.0306283062342212
"ENSG00000128710.6",14.6896605528209,4.89527790328529,1.47570675234689,3.31724300610544,0.000909105082014714,0.049858674908811
"ENSG00000130720.13",560.021855630991,5.33985269889581,1.07512414110395,4.96673127757393,6.80908367605185e-07,0.000810192143315265
"ENSG00000130762.15",3074.05642605664,1.6257152547659,0.483643289137527,3.36139318228731,0.000775503459340844,0.0455433544458817
"ENSG00000131187.10",330.838482135501,2.12819138942461,0.62876833232284,3.38469875154574,0.000712564108895598,0.0438920161855157
"ENSG00000132437.18",472.141321399481,3.91847698509971,0.864360450108646,4.53338301701238,5.80464200433538e-06,0.00317711275465293
"ENSG00000132911.5",230.974505672201,4.04036274687202,1.21760451965898,3.31828823040476,0.000905709716099154,0.0497722044186457
"ENSG00000133710.16",464.010823819326,3.20256412097414,0.82377375336202,3.8876743862058,0.000101209271142168,0.0160864243512151
"ENSG00000134398.15",4480.94082258481,3.8293330609769,0.838499717353193,4.56688652569207,4.95021806960201e-06,0.00288239612576166
"ENSG00000134762.17",275.865850657439,3.30077571986464,0.99227446259366,3.32647452322505,0.000879520595043091,0.0491221227031516
"ENSG00000135750.15",3055.80632294404,2.10932858758281,0.508314266738364,4.1496545062909,3.32977470561777e-05,0.00887306387478001
"ENSG00000135773.13",826.043748305219,3.46787119647687,0.975049736411828,3.55660954203074,0.000375671874643007,0.031928609296134
"ENSG00000136379.12",3859.86351470091,2.24122386695189,0.532551626334199,4.20846309752028,2.57113508400593e-05,0.00769746756342823
